hour,entity_type,entity_id,event,detail
121,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
121,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
121,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
121,TRUCK,0,IDLE,"manifest_remaining=0 cargo=0"
121,TRUCK,1,IDLE,"manifest_remaining=0 cargo=0"
121,TRUCK,2,MOVING,"pos=(37.95,29.53) heading to WH-2"
122,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
122,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
122,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
122,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
122,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
122,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
122,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
122,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
122,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
122,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
122,TRUCK,0,IDLE,"manifest_remaining=0 cargo=0"
122,TRUCK,1,IDLE,"manifest_remaining=0 cargo=0"
122,TRUCK,2,MOVING,"pos=(37.00,27.78) heading to WH-2"
123,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
123,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
123,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
123,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
123,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
123,WAREHOUSE,2,DOCK_STATUS,"dock=0 FREE"
123,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
123,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
123,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
123,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
123,TRUCK,0,IDLE,"manifest_remaining=0 cargo=0"
123,TRUCK,1,IDLE,"manifest_remaining=0 cargo=0"
123,TRUCK,2,WAITING,"queued at WH-2"
124,WAREHOUSE,0,QUEUE,"length=0 trucks=[]"
124,WAREHOUSE,0,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
124,WAREHOUSE,1,QUEUE,"length=0 trucks=[]"
124,WAREHOUSE,1,DOCK_STATUS,"dock=0 FREE dock=1 FREE dock=2 FREE"
124,WAREHOUSE,2,QUEUE,"length=0 trucks=[]"
124,WAREHOUSE,2,DOCK_STATUS,"dock=0 truck=2"
124,WAREHOUSE,3,QUEUE,"length=0 trucks=[]"
124,WAREHOUSE,3,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
124,WAREHOUSE,4,QUEUE,"length=0 trucks=[]"
124,WAREHOUSE,4,DOCK_STATUS,"dock=0 FREE dock=1 FREE"
124,TRUCK,0,IDLE,"manifest_remaining=0 cargo=0"
124,TRUCK,1,IDLE,"manifest_remaining=0 cargo=0"
124,TRUCK,2,UNLOADING,"delivered shipment 4 at WH-2"
124,SHIPMENT,4,DELIVERED,"WH-3 to WH-2 pickup_hr=81 delivery_hr=124"
124,TRUCK,2,IDLE,"manifest_remaining=0 cargo=0"
